iteration,validation_score
2265,1.9539013478499147e-05
2266,1.9539013478499147e-05
2267,1.9539013478499147e-05
2268,1.9539013478499147e-05
2269,1.9539013478499147e-05
2270,1.9539013478499147e-05
2271,1.9539013478499143e-05
2272,1.9539013478499147e-05
2273,1.9539013478499147e-05
2274,1.9539013478499147e-05
2275,1.9538805925098228e-05
2276,1.9538805925098228e-05
2277,1.9538805925098228e-05
2278,1.9538805925098228e-05
2279,1.9538805925098228e-05
2280,1.9538805925098225e-05
2281,1.9538805925098228e-05
2282,1.9538805925098228e-05
2283,1.9538805925098228e-05
2284,1.9538805925098228e-05
2285,1.9538805925098228e-05
2286,1.9538805925098228e-05
2287,1.9538805925098228e-05
2288,1.9538805925098228e-05
2289,1.9538805925098228e-05
2290,1.9538805925098225e-05
2291,1.9538805925098228e-05
2292,1.9538805925098228e-05
2293,1.9538805925098228e-05
2294,1.9538805925098228e-05
2295,1.9538805925098228e-05
2296,1.9538805925098228e-05
2297,1.9538805925098228e-05
2298,1.9538805925098228e-05
2299,1.9538805925098228e-05
2300,1.9538805925098228e-05
2301,1.9538805925098228e-05
2302,1.9538805925098228e-05
2303,1.9538805925098228e-05
2304,1.9538805925098228e-05
2305,1.9538805925098228e-05
2306,1.9538805925098225e-05
2307,1.9538805925098228e-05
2308,1.9538805925098228e-05
2309,1.9538805925098228e-05
2310,1.9538805925098228e-05
2311,1.9538805925098228e-05
2312,1.9538805925098228e-05
2313,1.9538805925098228e-05
2314,1.9538805925098228e-05
2315,1.9538805925098228e-05
2316,1.9538805925098228e-05
2317,1.9538805925098228e-05
2318,1.9538805925098228e-05
2319,1.9538805925098228e-05
2320,1.9538805925098228e-05
2321,1.9538742556132514e-05
2322,1.9538731793048523e-05
2323,1.9538731793048523e-05
2324,1.9538731793048523e-05
2325,1.9538731793048527e-05
2326,1.9538731793048523e-05
2327,1.9538731793048523e-05
2328,1.953873179304852e-05
2329,1.9538731793048527e-05
2330,1.953873179304852e-05
2331,1.9538731793048527e-05
2332,1.953873179304852e-05
2333,1.9538731793048523e-05
2334,1.9538607285356003e-05
2335,1.9538475123234e-05
2336,1.9538475123234e-05
2337,1.9538475123233998e-05
2338,1.9538475123234005e-05
2339,1.9538475123233998e-05
2340,1.9538475123234005e-05
2341,1.9538475123234005e-05
2342,1.9538475123233998e-05
2343,1.9538475123233998e-05
2344,1.9538475123233998e-05
2345,1.9538475123234e-05
2346,1.9538475123233998e-05
2347,1.9538475123233994e-05
2348,1.9538475123233998e-05
2349,1.9538475123233998e-05
2350,1.9538475123233998e-05
2351,1.9538475123233998e-05
2352,1.9538475123234005e-05
2353,1.9538470629682345e-05
2354,1.953841621664685e-05
2355,1.9538416216646846e-05
2356,1.9538416216646846e-05
2357,1.953841621664685e-05
2358,1.9538416216646846e-05
2359,1.9538416216646843e-05
2360,1.9538416216646846e-05
2361,1.9538415319578382e-05
2362,1.9538415319578382e-05
2363,1.9538415319578382e-05
2364,1.953841531957838e-05
2365,1.9538415319578382e-05
2366,1.9538415319578382e-05
2367,1.9538415319578382e-05
2368,1.9538415319578382e-05
2369,1.953841531957838e-05
2370,1.9538415319578382e-05
2371,1.9538415319578382e-05
2372,1.953841531957838e-05
2373,1.953841531957838e-05
2374,1.9538415319578382e-05
2375,1.9538331738598544e-05
2376,1.9538331738598544e-05
2377,1.953833173859854e-05
2378,1.9538331738598544e-05
2379,1.9538331738598544e-05
2380,1.9538331738598544e-05
2381,1.9538331738598544e-05
2382,1.9538331738598544e-05
2383,1.9538242625903104e-05
2384,1.9538242625903104e-05
2385,1.9538242625903104e-05
2386,1.95382426259031e-05
2387,1.95382426259031e-05
2388,1.9538242625903104e-05
2389,1.95382426259031e-05
2390,1.9538242625903104e-05
2391,1.95382426259031e-05
2392,1.9538242625903104e-05
